Year,Team,NextYearsWins,Wins,OffTotYds,OffTotPlays,OffTotYdsperPly,OffTot1stDwns,OffPass1stDwns,OffRush1stDwns,OffTotTurnovers,OffFumblesLost,Off1stDwnsbyPenalty,OffPassComp,OffPassComp1,OffPassYds,OffPassTds,OffPassINTs,OffPassINT,OffPassLongest,OffPassYdsperAtt,OffPassAdjYdsperAtt,OffPassYdsperComp,OffPassYdsperGame,OffPasserRating,OffPassSacksAlwd,OffPassSackYds,OffPassNetYdsperAtt,OffPassAdjNetYdsperAtt,OffPassSack,OffGameWinningDrives,OffRushYds,OffRushTds,OffRushLongest,OffRushYdsperAtt,OffRushYdsperGame,OffFumbles,OffPuntReturns,OffPRYds,OffPRTds,OffPRLongest,OffPRYdsperAtt,OffKickReturns,OffKRYds,OffKRTds,OffKRLongest,OffKRYdsperAtt,OffAllPurposeYds,X119ydFGAtt,X119ydFGMade,X2029ydFGAtt,X2029ydFGMade,X129ydFG,X3039ydFGAtt,X3039ydFGMade,X3039ydFG,X4049ydFGAtt,X4049ydFGMade,X50ydFGAtt,X50ydFGMade,X40ydFG,TotalFGAtt,OffTotFGMade,OffTotFG,OffXPAtt,OffXPMade,OffXP,OffTimesPunted,OffPuntYards,OffLongestPunt,OffTimesHadPuntBlocked,OffYardsPerPunt,FmblTds,DefINTTdsScored,BlockedKickorMissedFGRetTds,TotalTdsScored,Off2ptConvMade,DefSafetiesScored,DefTotYdsAlwd,DefTotPlaysAlwd,DefTotYdsperPlayAlwd,DefTot1stDwnsAlwd,DefPass1stDwnsAlwd,DefRush1stDwnsAlwd,DefTurnoversCreated,DefFumblesRecovered,Def1stDwnsAlwdbyPenalty,DefPassCompAlwd,DefPassAttAlwd,DefPassCompAlwd,DefPassYdsAlwd,DefPassTdsAlwd,DefPassTDAlwd,DefPassINTs,DefPassINT,DefPassYdsperAttAlwd,DefPassAdjYdsperAttAlwd,DefPassYdsperCompAlwd,DefPassYdsperGameAlwd,DefPasserRatingAlwd,DefPassSacks,DefPassSackYds,DefPassNetYdsperAttAlwd,DefPassAdjNetYdsperAttAlwd,DefPassSack,DefRushYdsAlwd,DefRushTdsAlwd,DefRushYdsperAttAlwd,DefRushYdsperGameAlwd,DefPuntReturnsAlwd,DefPRTdsAlwd,DefKickReturnsAlwd,DefKRYdsAlwd,DefKRTdsAlwd,DefKRYdsperAttAlwd,DefTotFGAttAlwd,DefTotFGMadeAlwd,DefTotFGAlwd,DefXPAttAlwd,DefXPMadeAlwd,DefXPAlwd,DefPuntsAlwd,DefPuntYdsAlwd,DefPuntYdsperAttAlwd,Def2ptConvAlwd,OffSafeties,OffRushSuccessRate,HeadCoachDisturbance,QBDisturbance,RBDisturbance,OffRunPassRatio,OffPassPly,OffRunPly,OffYdsPt,DefYdsPt,OffPassDroprate,DefPassDropRate
2011,KansasCity,2,7,49.73,1021,4.9,277,163,89,28,10,25,299,59.8,3080,13,18,3.6,52,6.6,5.5,11,192.5,73,34,208,5.8,4.7,6.4,2,1893,5,34,3.9,118.3,17,40,475,0,37,11.9,46,979,0,35,21.3,6635,1,1,7,7,1,7,6,0.85714286,12,7,3,3,0.66666667,30,24,0.8,20,20,1,89,4084,68,0,45.9,0,2,0,20,0,0,5333,991,5.4,291,169,96,26,6,26,257,454,56.6,3221,23,5.1,20,4.4,7.5,6.5,13.3,201.3,79.1,29,186,6.7,5.8,6,2112,14,4.2,132,36,1,25,605,0,24.2,28,23,0.821,37,37,1,83,0,0,0,1,0.40765766,Yes,No,Yes,0.91198502,0.52301665,0.47698335,23.4575472,15.7781065,5.84677419,6.25
2012,KansasCity,NA,2,51.08,1015,5,286,144,118,37,17,24,273,57.5,2713,8,20,4.2,57,6.2,4.6,10.8,169.6,63.8,40,224,5.3,3.8,7.8,1,2395,9,91,4.8,149.7,26,43,375,0,27,8.7,49,1059,0,41,21.6,6766,0,0,5,4,0.8,15,12,0.8,12,10,2,2,0.85714286,34,28,0.824,17,17,1,83,3887,71,0,46.8,1,0,0,18,0,1,5704,973,5.9,301,176,106,13,6,19,279,464,60.1,3533,29,6.3,7,1.5,8,8.5,13.2,220.8,99.9,27,161,7.2,7.7,5.5,2171,11,4.5,135.7,27,2,27,690,0,25.6,38,32,0.842,47,47,1,74,0,0,0,0,0.45909091,Yes,Yes,?,0.97087379,0.50738916,0.49261084,24.2085308,13.4211765,5.78158458,7.39130435
2002,Miami,10,9,53.92,1010,5.3,318,155,139,30,15,24,271,59.6,2890,18,15,3.3,77,6.7,6.1,11.3,180.6,79.3,25,179,6,5.4,5.2,1,2502,24,63,4.7,156.4,28,31,293,0,34,9.5,63,1483,0,66,23.5,7168,0,0,14,13,0.92857143,3,2,0.66666667,11,7,3,2,0.64285714,31,24,0.774,43,42,0.977,69,2772,56,0,40.2,1,1,0,44,0,0,4656,974,4.8,285,162,86,30,9,37,294,520,56.5,3102,20,3.8,21,4,6.6,5.5,11.7,193.9,72.7,47,327,5.5,4.5,8.3,1554,9,3.8,97.1,39,0,69,1540,0,22.3,30,28,0.933,27,27,1,80,3432,42.9,2,0,0.5,No,No,No,1.10416667,0.47524752,0.52475248,14.2645503,15.4684385,4.51467269,6.2992126
2003,Miami,4,10,46.09,968,4.8,266,145,99,34,15,22,257,57.1,2792,17,19,4.2,80,6.7,5.5,11.7,174.5,72.5,31,209,5.8,4.7,6.4,4,1817,14,68,3.7,113.6,26,31,288,0,48,9.3,57,1202,0,49,21.1,6099,0,0,9,9,1,6,3,0.5,8,6,6,4,0.71428571,29,22,0.759,34,33,0.971,84,3274,57,0,39,2,2,0,35,0,1,4787,1014,4.7,283,171,82,36,14,30,319,529,60.3,3335,12,2.3,22,4.2,6.8,5.4,11.2,208.4,70.8,44,253,5.8,4.5,7.7,1879,22,4.9,117.4,29,0,47,1010,0,21.5,31,26,0.839,23,23,1,80,3296,41.2,0,2,0.39497717,No,Yes,Yes,1.01247401,0.49690083,0.50309917,14.8199357,18.3409962,4.28893905,6.57640232
2004,Miami,9,4,44.04,1022,4.3,267,165,71,42,16,31,309,52.7,3065,19,26,4.4,76,5.8,4.4,11,191.6,62.5,52,326,4.8,3.6,8.2,3,1339,10,53,3.5,83.7,42,52,564,0,71,10.8,70,1660,1,95,23.7,6628,0,0,6,5,0.83333333,8,7,0.875,6,5,3,2,0.77777778,23,19,0.826,27,26,0.963,99,4107,67,0,41.5,1,0,0,31,2,1,4894,1009,4.9,281,139,107,25,10,35,244,434,56.2,2592,20,4.6,15,3.5,6.5,5.9,11.5,162,76.9,36,223,5.5,4.9,7.7,2302,12,4.3,143.9,45,0,51,1114,1,21.8,28,20,0.714,42,42,1,102,4182,41,0,0,0.3832853,Yes,Yes,Yes,0.60188088,0.62426614,0.37573386,16.0145455,13.8248588,6.60869565,5.22565321
2005,Miami,6,9,51.98,1026,5.1,274,159,93,30,14,22,291,52.3,3300,22,16,2.9,77,6.2,5.7,11.9,206.3,72.8,26,158,5.7,5.2,4.5,3,1898,11,65,4.3,118.6,31,43,390,0,47,9.1,68,1501,0,46,22.1,7089,0,0,10,9,0.9,12,9,0.75,6,6,2,1,0.875,30,25,0.833,33,33,1,89,3835,63,0,43.1,1,0,0,34,0,3,5078,1078,4.7,319,183,94,31,17,42,323,549,58.8,3307,23,4.2,14,2.6,6.7,6.4,11.4,206.7,82.4,49,375,5.5,5.2,8.2,1771,11,3.7,110.7,46,0,56,1425,0,25.4,24,24,1,32,31,0.969,92,3956,43,1,1,0.47103275,No,Yes,No,0.7628866,0.56725146,0.43274854,16.345912,16.0189274,5.52486188,3.71057514
2006,Miami,1,6,49.6,1034,4.8,281,180,82,25,6,19,342,57.9,3287,16,19,3.2,52,6.1,5.1,10.5,205.4,71.2,41,290,5.2,4.4,6.5,1,1673,7,55,4.2,104.6,19,41,378,0,47,9.2,52,1102,0,46,21.2,6440,0,0,10,10,1,8,6,0.75,12,9,6,1,0.55555556,36,26,0.722,22,22,1,86,3683,64,1,42.8,1,2,0,26,2,0,4625,1005,4.6,267,166,72,27,19,29,279,497,56.1,3007,22,4.4,8,1.6,6.6,6.8,11.7,187.9,84.4,47,268,5.5,5.7,8.6,1618,7,3.5,101.1,49,0,40,981,0,24.5,25,22,0.88,31,31,1,91,3786,41.6,0,0,0.45251397,Yes,Yes,No,0.63607595,0.61121857,0.38878143,19.0769231,16.3427562,6.19621343,4.04040404
2007,Miami,11,1,46,989,4.7,283,162,107,29,13,14,318,57,3031,12,16,2.9,64,5.9,5.1,10.4,189.4,69.6,42,288,5.1,4.3,7,1,1569,14,60,4,98.1,25,24,230,1,87,9.6,78,1552,0,52,19.9,6382,0,0,7,7,1,6,6,1,9,7,1,1,0.8,23,21,0.913,26,26,1,77,3327,61,0,43.2,1,1,0,29,2,0,5475,983,5.6,318,165,129,22,8,24,242,409,59.2,3019,28,6.8,14,3.4,7.8,7.6,13.2,188.7,92.4,30,167,6.9,6.7,6.8,2456,18,4.5,153.5,39,0,50,1292,2,25.8,33,28,0.848,49,49,1,62,2685,43.3,1,1,0.4671916,Yes,Yes,No,0.64833333,0.60667341,0.39332659,17.2284644,12.5286041,5.32110092,3.99002494
2008,Miami,7,11,55.29,965,5.7,308,184,111,13,6,13,330,67.2,3632,20,7,1.4,80,7.7,7.8,11.4,227,97.6,26,129,7,7.2,5,2,1897,18,62,4.2,118.6,18,28,285,0,27,10.2,60,1213,0,60,20.2,7027,0,0,4,4,1,7,7,1,13,9,1,1,0.71428571,25,21,0.84,40,40,1,74,3249,71,0,43.9,0,2,0,40,0,1,5264,979,5.4,296,173,96,30,12,27,320,551,58.1,3644,18,3.3,18,3.3,7,6.2,12.1,227.8,77,40,218,6.2,5.4,6.8,1620,11,4.2,101.3,37,2,68,1655,0,24.3,32,29,0.906,28,28,1,61,2849,46.7,5,1,0.49754902,No,Yes,Yes,0.86653772,0.5357513,0.4642487,16.026087,16.6056782,3.87755102,4.41176471
2009,Miami,7,7,54.01,1088,5,333,188,129,29,10,16,331,60.7,3170,15,19,3.5,67,6.2,5.2,10.3,198.1,73.3,34,226,5.5,4.5,5.9,3,2231,22,68,4.4,139.4,27,33,237,0,22,7.2,75,1739,2,101,23.2,7377,0,0,9,9,1,8,7,0.875,9,8,2,1,0.81818182,28,25,0.893,38,37,0.974,75,3472,66,0,46.3,1,1,0,41,1,0,5589,968,5.8,297,184,88,21,6,25,281,489,57.5,3754,23,4.7,15,3.1,8.2,7.7,14.2,234.6,86.9,44,242,7,6.6,8.3,1835,16,4.2,114.7,43,0,71,1557,0,21.9,39,33,0.846,37,35,0.946,67,2955,44.1,2,0,0.54285714,No,No,Yes,0.8791019,0.53216912,0.46783088,15.0027778,14.3307692,5.79439252,4.58333333
2010,Miami,6,7,51.7,1040,5,300,189,91,31,10,20,335,60.1,3527,17,21,3.8,57,6.7,5.7,11.2,220.4,74.8,38,228,5.9,4.9,6.4,1,1643,8,51,3.7,102.7,24,28,293,0,47,10.5,56,1199,0,46,21.4,6662,1,1,9,9,1,5,5,1,18,11,8,4,0.57692308,41,30,0.732,26,25,0.962,75,3368,69,2,44.9,1,0,0,26,0,1,4949,988,5,264,166,84,19,8,14,288,502,57.4,3348,22,4.4,11,2.2,7.1,7,12.4,209.3,85,39,225,6.2,6.1,7.2,1601,8,3.6,100.1,43,1,53,1303,2,24.6,31,27,0.871,36,36,1,77,3257,42.3,0,0,0.4781491,No,Yes,Yes,0.74789916,0.57211538,0.42788462,18.9377289,14.8618619,5.08166969,6.69371197
2011,Miami,7,6,50.78,990,5.1,287,166,89,25,12,32,280,59.7,3091,20,13,2.8,65,7.3,6.9,12.2,193.2,84.9,52,334,5.9,5.6,10,1,1987,11,76,4.2,124.2,28,46,526,0,25,11.4,39,942,0,77,24.2,6880,0,0,15,14,0.93333333,7,6,0.85714286,13,11,4,2,0.76470588,39,33,0.846,32,32,1,78,3810,70,0,48.8,0,1,1,33,0,0,5522,1043,5.3,310,198,88,19,3,24,350,590,59.3,3992,24,4.1,16,2.7,7.2,6.8,12.1,249.5,83.7,41,241,6.3,5.9,6.5,1530,8,3.7,95.6,47,0,41,937,0,22.9,33,26,0.788,31,31,1,95,0,0,0,2,0.44337349,Yes,Yes,No,0.90019194,0.52626263,0.47373737,15.4346505,17.6421725,5.80645161,5.32646048
2012,Miami,NA,7,49.84,981,5.1,288,158,93,26,13,37,293,58.1,3182,13,13,2.6,80,6.8,6.2,11.7,198.9,76.7,37,243,5.9,5.3,6.8,1,1802,15,65,4.1,112.6,25,31,346,1,72,11.2,40,1082,1,96,27.1,6655,0,0,3,3,1,9,9,1,13,9,5,2,0.61111111,30,23,0.767,29,29,1,76,3779,67,0,49.7,0,0,1,31,2,0,5708,1073,5.3,320,215,79,16,6,26,353,600,58.8,3974,18,3,10,1.7,7,6.9,11.9,248.4,83.4,42,242,6.2,6,6.5,1734,10,4,108.4,43,1,35,868,1,24.8,40,31,0.775,30,30,1,86,0,0,0,0,0.515625,No,No,?,0.81330869,0.55147808,0.44852192,17.3055556,18.0063091,5.4,6.02006689
2002,Minnesota,9,6,61.92,1080,5.7,350,191,139,41,18,20,337,60.4,3685,19,23,4.1,61,7.1,5.9,11.7,230.3,76.1,49,266,6.1,5,8.1,4,2507,26,85,5.3,156.7,40,28,283,0,61,10.1,86,1775,0,51,20.6,8250,1,1,11,11,1,6,6,1,10,4,1,1,0.45454545,29,23,0.793,44,41,0.932,63,2514,59,1,39.9,0,1,0,46,1,1,5769,963,6,315,198,83,23,7,34,335,542,61.8,4103,33,6.1,16,3,7.9,7.8,12.8,256.4,94.6,27,197,7.2,7.1,4.7,1666,15,4.2,104.1,21,0,76,1749,2,23,28,21,0.75,46,45,0.978,65,2541,39.1,2,0,0.52380952,No,No,Yes,0.77924217,0.56203704,0.43796296,15.8769231,13.0520362,4.22018349,6.40301318
2003,Minnesota,8,9,62.94,1055,6,336,194,124,24,11,18,333,64,3951,32,13,2.5,72,8,8.1,12.5,246.9,99,42,218,7,7.1,7.5,1,2343,15,61,4.8,146.4,31,36,247,0,52,6.9,71,1428,0,48,20.1,7969,0,0,7,7,1,8,6,0.75,7,4,3,1,0.5,25,18,0.72,48,48,1,64,2501,55,1,39.1,0,4,0,51,2,2,5356,955,5.6,316,186,94,35,7,36,311,531,58.6,3477,17,3.2,28,5.3,7,5.3,12,217.3,68.8,37,245,6.1,4.5,6.5,1908,12,3.8,119.3,29,0,75,1608,0,21.4,26,21,0.808,36,36,1,64,2579,40.3,1,0,0.49487179,No,No,Yes,0.8772242,0.53270142,0.46729858,15.1298077,15.1728045,4.16666667,5.73613767
2004,Minnesota,9,8,63.39,985,6.4,351,225,98,21,9,28,380,68.8,4516,39,12,2.2,82,8.6,9,12.5,282.3,109.8,46,238,7.6,8,7.7,3,1823,8,49,4.7,113.9,20,31,275,1,91,8.9,73,1448,0,55,19.8,8062,1,1,8,8,1,7,5,0.71428571,6,4,0,0,0.66666667,22,18,0.818,45,45,1,57,2240,61,0,39.3,1,1,0,50,3,0,5902,1018,5.8,350,220,110,22,11,20,338,544,62.1,3896,30,5.5,11,2,7.6,7.8,12.2,243.5,95.5,39,234,6.7,6.9,6.7,2006,15,4.6,125.4,26,0,75,1869,1,24.9,27,24,0.889,43,43,1,59,2490,42.2,1,1,0.49655172,No,Yes,Yes,0.64715719,0.6071066,0.3928934,15.6518519,14.9417722,3.50553506,2.79850746
2005,Minnesota,6,9,46.13,945,4.9,285,169,83,30,14,33,323,63.3,3146,18,16,3.1,80,6.8,6.1,10.7,196.6,81.7,54,303,5.6,4.9,9.6,3,1467,10,61,3.9,91.7,25,41,344,1,71,8.4,71,1549,1,86,21.8,6506,0,0,11,11,1,8,3,0.375,10,8,5,3,0.73333333,34,25,0.735,31,31,1,81,3505,62,0,43.3,0,3,0,33,1,0,5173,1029,5,304,177,96,35,11,31,319,533,59.8,3332,23,4.3,24,4.5,6.6,5.5,11.1,208.3,75.2,34,207,5.9,4.8,6,1841,14,4,115.1,45,0,67,1416,0,21.1,33,28,0.848,34,34,1,72,3010,41.8,1,1,0.40490798,Yes,No,Yes,0.67553191,0.5968254,0.4031746,15.0751634,15.0377907,3.36633663,5.36398467
2006,Minnesota,8,6,49.43,1025,4.8,272,160,87,32,12,25,332,61.5,3123,13,20,3.7,50,6.3,5.1,10.2,195.2,72.2,43,279,5.4,4.3,7.4,3,1820,12,95,4.1,113.8,31,38,374,1,71,9.8,66,1492,0,65,22.6,6809,2,2,7,7,1,8,8,1,6,4,2,0,0.5,25,21,0.84,28,27,0.964,94,3961,68,0,42.1,3,3,0,32,0,0,4803,977,4.9,272,192,53,36,15,27,355,599,59.3,3818,15,2.5,21,3.5,6.7,5.6,11.3,238.6,73.1,30,197,6.1,5,4.8,985,9,2.8,61.6,50,1,59,1369,1,23.2,40,34,0.85,31,31,1,79,3587,45.4,0,1,0.45918367,No,Yes,Yes,0.75814751,0.56878049,0.43121951,17.5283688,14.6880734,5.10396975,4.72972973
2007,Minnesota,10,8,53.79,964,5.6,294,139,131,30,16,24,249,57.6,2745,12,14,3.2,79,6.8,5.9,11.8,171.6,74.2,38,193,5.8,5,8.1,3,2634,22,84,5.3,164.6,27,29,242,0,42,8.3,59,1461,1,104,24.8,7082,0,0,3,3,1,6,6,1,11,10,4,1,0.73333333,24,20,0.833,40,39,0.975,81,3621,70,0,44.7,2,6,0,43,3,1,5410,1063,5.1,305,222,67,31,16,16,415,646,64.2,4225,22,3.4,15,2.3,7,6.6,10.8,264.1,86.3,38,275,6.2,5.8,5.6,1185,7,3.1,74.1,43,1,65,1441,0,22.2,32,28,0.875,31,31,1,82,3780,46.1,0,2,0.47181628,No,Yes,No,1.05106383,0.48755187,0.51244813,14.7369863,17.3954984,6.52173913,4.10094637
2008,Minnesota,12,10,52.88,1014,5.2,292,150,119,31,14,23,267,59.1,2956,22,17,3.8,99,7.1,6.4,12,184.8,81.5,43,261,6,5.3,8.7,5,2332,15,67,4.5,145.8,31,34,273,1,82,8,61,1369,0,49,22.4,6930,0,0,10,10,1,9,7,0.77777778,9,6,6,6,0.8,34,29,0.853,40,40,1,74,3521,62,1,47.6,2,0,1,41,0,3,4679,946,4.9,255,163,72,25,13,20,324,530,61.1,3449,15,2.8,12,2.3,7.1,6.6,11.6,215.6,82.5,45,304,6,5.6,7.8,1230,10,3.3,76.9,42,4,78,1830,0,23.5,36,26,0.722,35,35,1,80,3480,43.5,1,1,0.45726496,No,Yes,No,1.04848485,0.48816568,0.51183432,13.9525066,14.0510511,5.40540541,5.20231214
2009,Minnesota,6,12,60.74,1054,5.8,343,220,99,18,11,24,377,68.2,4156,34,7,1.3,63,8,8.6,11.7,259.8,107.3,34,247,7.1,7.7,5.8,2,1918,19,64,4.1,119.9,19,48,455,0,36,9.5,56,1297,2,101,23.2,7826,1,1,10,10,1,6,5,0.83333333,9,8,2,2,0.90909091,28,26,0.929,55,54,0.982,73,3202,60,0,43.9,1,0,0,56,0,1,4888,940,5.2,271,183,63,24,13,25,341,535,63.7,3494,26,4.9,11,2.1,7.1,7.2,11.2,218.4,92.5,48,318,6,6,8.2,1394,5,3.9,87.1,33,1,91,2060,0,22.6,26,22,0.846,31,30,0.968,89,3978,44.7,0,0,0.43661972,No,No,No,0.7955707,0.556926,0.443074,12.9234043,15.6666667,5.47445255,4.91493384
2010,Minnesota,3,6,50.39,982,5.1,289,159,104,37,11,26,305,60.4,3097,14,26,5.1,53,6.6,4.8,10.9,193.6,67.7,36,230,5.7,4.1,6.7,2,1942,16,80,4.4,121.4,20,42,361,0,52,8.6,64,1427,1,95,22.3,6827,0,0,7,7,1,9,8,0.88888889,2,2,0,0,1,18,17,0.944,31,30,0.968,83,3569,59,0,43,1,1,0,33,1,0,5002,977,5.1,276,178,87,26,11,11,333,529,62.9,3367,25,4.7,15,2.8,6.7,6.4,10.6,210.4,86.4,31,177,6,5.7,5.5,1635,10,3.9,102.2,32,1,61,1455,1,23.9,23,18,0.783,42,42,1,85,3748,44.1,0,0,0.44356955,Yes,Yes,No,0.81515712,0.5509165,0.4490835,17.9323843,14.3735632,4.77137177,5.57692308
2011,Minnesota,10,3,52.75,1007,5.2,297,159,118,26,9,20,286,56.1,2957,20,17,3.3,72,6.4,5.7,11.4,184.8,74.6,49,298,5.3,4.6,8.8,2,2318,18,67,5.2,144.9,20,33,277,0,53,8.4,53,1428,1,104,26.9,7278,0,0,7,7,1,8,7,0.875,10,6,3,2,0.61538462,28,22,0.786,39,38,0.974,77,3517,60,0,45.7,0,0,0,39,0,1,5731,1027,5.6,332,213,92,23,15,27,367,538,68.2,4019,34,6.3,8,1.5,8.1,8.7,11.9,251.2,107.6,50,342,6.8,7.4,8.5,1712,10,3.9,107,43,1,57,1403,1,24.6,35,32,0.914,49,49,1,67,0,0,0,1,0.44545455,No,No,No,0.80143113,0.5551142,0.4448858,15.5147059,12.7639198,3.95256917,5.2532833
2012,Minnesota,NA,10,53.85,1001,5.4,306,163,113,23,11,30,300,62.1,2751,18,12,2.5,65,6.1,5.7,9.8,171.9,81.2,32,184,5.3,5,6.2,2,2634,16,82,5.4,164.6,21,32,287,1,77,9,44,1171,1,105,26.6,7027,0,0,10,10,1,9,8,0.88888889,9,7,10,10,0.89473684,38,35,0.921,36,36,1,72,3237,59,0,45,0,3,0,39,2,0,5600,1083,5.2,345,229,82,22,12,34,391,612,63.9,3908,28,4.6,10,1.6,6.8,7,10.7,244.3,92.3,44,284,6,6.1,6.7,1692,10,4,105.8,41,0,33,795,0,24.1,30,25,0.833,35,33,0.943,76,0,0,0,0,0.47880299,No,No,?,0.94368932,0.51448551,0.48551449,14.2084433,16.091954,3.95833333,6.29139073
2002,NewEngland,14,9,50.85,1031,4.9,304,184,99,24,10,21,374,61.8,3577,28,14,2.3,49,6.2,6.1,10.1,223.6,85.3,31,190,5.6,5.5,4.9,3,1508,9,45,3.8,94.3,24,34,298,0,40,8.8,75,1771,2,87,23.6,7154,0,0,6,6,1,12,12,1,10,8,2,1,0.75,30,27,0.9,36,36,1,71,2762,55,1,38.9,1,3,0,43,3,0,5377,1032,5.2,315,158,129,29,11,28,314,531,59.1,3179,23,4.3,18,3.4,6.4,5.7,10.8,198.7,78.2,34,199,5.6,5,6,2198,17,4.7,137.4,24,0,73,1493,0,20.5,34,20,0.588,41,40,0.976,68,2679,39.4,0,0,0.51020408,No,No,No,0.62106918,0.61687682,0.38312318,13.3464567,15.5404624,4.91525424,4.40613027
2003,NewEngland,14,14,50.39,1042,4.8,294,177,91,24,11,26,320,59.6,3432,23,13,2.4,82,6.8,6.6,11.4,214.5,84.3,32,219,6,5.8,5.6,7,1607,9,42,3.4,100.4,25,50,462,0,23,9.2,60,1428,1,92,23.8,6929,0,0,17,16,0.94117647,8,4,0.5,8,5,1,0,0.55555556,34,25,0.735,38,37,0.974,88,3304,52,1,37.5,1,5,0,39,0,1,4666,1060,4.4,293,177,91,41,12,25,328,618,53.1,3232,11,1.8,29,4.7,5.6,3.9,10.6,202,56.2,41,253,4.9,3.3,6.2,1915,17,4,119.7,38,1,77,1623,0,21.1,35,25,0.714,21,21,1,90,3654,40.6,1,1,0.46062053,No,No,Yes,0.83128295,0.54606526,0.45393474,14.4798851,19.605042,4.90566038,5.14096186
2004,NewEngland,10,14,57.22,1035,5.5,344,193,120,27,13,31,293,60.4,3588,29,14,2.9,50,7.7,7.6,12.8,224.3,92.5,26,162,7,6.9,5.1,2,2134,15,44,4.1,133.4,24,40,230,0,23,5.8,56,1302,1,93,23.3,7254,0,0,13,13,1,7,7,1,12,11,1,0,0.84615385,33,31,0.939,48,48,1,56,2350,69,0,42,3,1,0,49,1,0,4972,988,5,290,177,83,36,16,30,315,538,58.6,3400,18,3.3,20,3.7,6.9,5.9,11.8,212.5,75.3,45,311,5.8,4.9,7.7,1572,9,3.9,98.3,31,1,86,2003,1,23.3,18,15,0.833,23,23,1,69,2864,41.5,3,0,0.51054852,No,No,No,1.02544031,0.49371981,0.50628019,13.0938215,19.1230769,3.33333333,6.77966102
2005,NewEngland,12,10,56.32,1031,5.5,334,204,101,24,9,29,352,62.4,4120,28,15,2.7,71,7.7,7.5,12.3,257.5,91.5,28,202,7,6.8,4.7,4,1512,16,31,3.4,94.5,19,40,314,0,29,7.9,70,1555,0,65,22.2,7501,0,0,7,7,1,10,9,0.9,6,4,2,0,0.5,25,20,0.8,42,41,0.976,77,3476,59,1,45.1,0,2,0,46,1,0,5283,997,5.3,306,179,94,18,8,33,296,527,56.2,3703,25,4.7,10,1.9,7.4,7.5,13.3,231.4,87.8,33,223,6.6,6.7,5.9,1580,11,3.6,98.8,42,0,68,1487,0,21.9,30,24,0.8,34,34,1,81,3540,43.7,1,1,0.43037975,No,No,No,0.74155405,0.57419981,0.42580019,14.8601583,15.6301775,4.68468468,5.78034682
2006,NewEngland,16,12,53.69,1055,5.1,330,181,121,27,15,28,326,61.9,3400,25,12,2.3,62,6.8,6.7,11,212.5,88.3,29,190,6.1,6,5.2,3,1969,20,50,3.9,123.1,27,36,422,0,43,11.7,58,1553,1,93,26.8,7344,0,0,11,10,0.90909091,10,7,0.7,4,2,1,1,0.6,26,20,0.769,44,43,0.977,69,2847,62,0,41.3,0,0,0,46,2,1,4710,950,5,264,164,67,35,13,33,294,518,56.8,3203,10,1.9,22,4.2,6.7,5.2,11.9,200.2,66.1,44,281,5.7,4.3,7.8,1507,11,3.9,94.2,29,2,68,1547,0,22.8,30,22,0.733,23,23,1,79,3286,41.6,1,1,0.49419954,No,No,Yes,0.89748201,0.52701422,0.47298578,13.9454545,19.8734177,5.1625239,3.73280943
2007,NewEngland,11,16,65.8,1058,6.2,393,243,124,15,6,26,403,68.8,4731,50,9,1.5,69,8.3,9.3,12.1,295.7,116,21,128,7.8,8.8,3.5,4,1849,17,59,4.1,115.6,14,33,311,0,35,9.4,55,1384,2,108,25.2,8275,0,0,10,10,1,9,8,0.88888889,5,3,0,0,0.6,24,21,0.875,74,74,1,45,1862,64,1,41.4,3,3,0,75,1,0,4613,933,4.9,278,172,91,31,12,15,314,526,59.7,3041,23,4.4,19,3.6,6.4,5.7,10.8,190.1,78.1,47,340,5.3,4.6,8.2,1572,7,4.4,98.3,14,0,92,2030,1,22.1,14,12,0.857,34,34,1,76,3298,43.4,0,0,0.56976744,No,Yes,Yes,0.74299835,0.57372401,0.42627599,11.1714771,16.8357664,5.47008547,4.61538462
2008,NewEngland,10,11,58.47,1095,5.3,356,186,145,21,10,25,339,63.5,3569,21,11,2.1,76,7.1,7,11.2,223.1,89.1,48,221,6.1,6,8.2,2,2278,21,49,4.4,142.4,17,36,371,0,44,10.3,62,1562,1,95,25.2,7780,0,0,12,10,0.83333333,16,16,1,11,9,1,1,0.83333333,40,36,0.9,40,40,1,50,2200,70,0,44,0,0,0,43,2,0,4944,920,5.4,268,176,78,22,8,14,288,474,60.8,3222,27,5.7,14,3,7.3,7.1,12,201.4,89.8,31,239,6.4,6.2,6.1,1722,8,4.1,107.6,11,0,75,1672,2,22.3,21,17,0.81,35,34,0.971,75,3225,43,2,0,0.54524362,No,Yes,Yes,0.8814433,0.53150685,0.46849315,14.2609756,16,5.31309298,7.00636943
