CollegeGPA,Gender,HSGPA,ACT,APHours,JobHours,School,LanguagesSpoken,HSHonorsClasses,SmokeInHS,PayCollegeNoLoans,ClubsInHS,JobInHS,Churchgoer,Height,Weight,Family,Pet
3.64,Female,3.8,23,15,10,Public,1,16,No,No,10,No,No,62,100,Middle Child,Dog
3.3,Female,3.8,25,12,0,Public,2,16,No,No,4,Yes,No,61,125,Oldest Child,Cat
2.79,Female,4.3,28,4,15,Public,2,17,No,No,4,Yes,No,67,130,Youngest Child,Neither
3.25,Male,3.45,24,0,0,Public,1,18,No,No,5,Yes,No,74,170,Youngest Child,Dog
3.4,Female,3.9,26,0,0,Public,2,18,No,Yes,6,Yes,Yes,66,128,Middle Child,Dog
3.75,Female,3.97,34,22,24,Public,1,19,No,No,6,No,No,71,155,Oldest Child,Neither
3.24,Male,3.6,25,0,0,Public,1,20,No,Yes,4,No,No,70,220,Youngest Child,Cat
3.15,Female,3.2,29,3,0,Public,2,20,No,Yes,5,Yes,Yes,65,125,Youngest Child,Neither
3.35,Male,4,28,14,0,Public,2,20,No,Yes,3,Yes,Yes,69,170,Oldest Child,Dog
1.89,Male,3.87,33,12,30,Public,2,20,No,Yes,3,Yes,No,71,165,Oldest Child,Dog
3.56,Female,4,26,36,20,Public,1,24,No,No,5,No,Yes,73,160,Only Child,Cat
3.07,Male,4,33,15,17,Public,1,25,No,Yes,3,Yes,No,71,200,Oldest Child,Neither
3.52,Female,2.8,25,9,10,Public,2,26,No,Yes,1,Yes,No,66,137,Oldest Child,Dog
2.3,Male,3.96,24,20,35,Public,4,26,No,No,4,Yes,Yes,66,165,Oldest Child,Dog
3.2,Male,2.88,26,0,0,Public,1,30,No,No,1,Yes,No,70,175,Middle Child,Dog
3.69,Female,3.97,27,0,18,Public,1,30,No,No,5,No,Yes,67,131,Only Child,Dog
3.7,Female,3.81,31,27,0,Public,1,48,No,Yes,9,Yes,No,69,165,Oldest Child,Dog
3.86,Female,4,28,12,0,Public,1,50,No,No,4,Yes,No,64,110,Middle Child,Dog
3.97,Female,3.2,26,0,0,Private,1,0,No,Yes,1,Yes,No,62,122,Middle Child,Dog
2.4,Male,3,26,0,0,Public,1,0,No,Yes,0,Yes,No,76,189,Only Child,Dog
3,Female,3.21,23,0,7,Public,1,0,No,Yes,0,Yes,No,65,120,Oldest Child,Dog
3.33,Female,3.71,29,0,8,Public,1,0,No,Yes,6,Yes,No,63,120,Oldest Child,Dog
3.56,Male,3.3,17,0,12,Public,1,0,No,Yes,2,Yes,No,67,151,Middle Child,Both
3.2,Male,3.66,29,0,12,Public,1,0,No,No,5,Yes,No,69,185,Oldest Child,Dog
3.55,Female,3.34,23,0,18,Public,1,0,No,No,5,Yes,No,66,130,Middle Child,Dog
3.2,Male,2.7,25,0,0,Private,2,0,Yes,Yes,5,No,Yes,72,170,Youngest Child,Dog
2.3,Male,3.2,22,0,18,Private,2,0,No,Yes,5,Yes,Yes,75,225,Oldest Child,Dog
2.8,Male,3.6,29,3,15,Private,1,1,No,Yes,7,No,Yes,75,190,Middle Child,Dog
3.64,Male,3.55,24,3,25,Public,1,1,Yes,No,3,Yes,No,71,151,Oldest Child,Dog
3.71,Female,3.45,21,0,40,Public,1,1,No,No,10,Yes,No,66,150,Only Child,Neither
2.72,Female,3.4,23,3,40,Public,1,1,No,No,3,Yes,Yes,57,121,Only Child,Dog
3.3,Male,3.6,28,0,0,Public,1,2,No,Yes,1,No,No,69,165,Youngest Child,Dog
3.7,Male,3.82,28,9,16,Private,1,3,No,Yes,3,Yes,Yes,72,185,Youngest Child,Dog
3.08,Female,3.78,27,0,0,Public,1,3,No,No,3,No,No,63,95,Only Child,Neither
3.74,Female,3.9,24,8,7,Public,1,3,No,No,4,Yes,Yes,63,114,Oldest Child,Dog
3,Male,3.75,25,0,27,Public,1,3,No,Yes,3,Yes,No,70,210,Youngest Child,Dog
2.91,Female,3.72,28,0,40,Public,1,3,No,Yes,4,Yes,No,64,135,Youngest Child,Dog
3,Male,2.9,21,15,0,Private,2,3,No,Yes,2,No,No,74,188,Youngest Child,Dog
2.74,Female,3.81,32,41,35,Private,2,3,No,No,4,Yes,No,66,190,Only Child,Dog
3.99,Male,4,29,6,0,Public,2,3,No,Yes,4,No,Yes,72,160,Oldest Child,Dog
3.34,Male,3.69,31,16,0,Private,1,4,No,Yes,8,No,No,73,180,Middle Child,Dog
3.1,Male,3,25,0,6,Private,1,4,No,No,5,No,Yes,65,160,Youngest Child,Dog
3.23,Female,3.33,22,8,0,Public,1,4,No,Yes,5,Yes,Yes,64,140,Oldest Child,Dog
3.01,Female,4.05,26,9,12,Public,1,4,Yes,No,4,Yes,No,66,147,Only Child,Cat
3.27,Female,3.53,25,0,16,Public,1,4,No,Yes,2,Yes,No,64,100,Only Child,Cat
3.78,Male,3.7,29,2,25,Private,2,4,No,No,4,Yes,Yes,75,186,Middle Child,Cat
2.78,Male,3.78,28,12,0,Public,2,4,No,Yes,5,No,Yes,68,175,Middle Child,Neither
3.78,Male,3.8,26,0,30,Public,3,4,No,Yes,3,Yes,No,68,155,Middle Child,Cat
3.3,Female,3.97,23,0,20,Public,1,5,No,Yes,14,No,Yes,69,160,Middle Child,Neither
3.83,Male,3.6,28,3,0,Private,1,6,No,Yes,1,No,No,69,175,Youngest Child,Dog
2.47,Male,3.89,20,0,20,Public,1,6,No,No,4,No,Yes,73,210,Middle Child,Dog
3.15,Female,3.7,22,0,0,Public,2,6,No,Yes,4,No,No,60,115,Middle Child,Dog
2.43,Female,3.8,23,0,0,Public,2,7,No,No,5,No,No,64,145,Youngest Child,Neither
3.69,Female,3.8,27,4,12,Public,2,7,No,Yes,3,Yes,No,68,140,Youngest Child,Neither
3.87,Male,4.34,28,4,1,Public,3,7,No,Yes,2,No,No,70,262,Oldest Child,Dog
3.56,Female,4,29,0,0,Public,1,8,No,Yes,6,Yes,No,69,170,Oldest Child,Dog
3.84,Female,4,30,8,8,Public,1,8,No,No,4,Yes,Yes,66,160,Middle Child,Dog
3.12,Male,3.4,27,3,16,Public,2,9,No,Yes,5,Yes,No,73,162,Youngest Child,Neither
2.47,Female,3.9,31,19,30,Public,2,9,Yes,Yes,6,Yes,No,67,135,Oldest Child,Dog
2.65,Male,3.14,26,0,0,Public,1,10,No,No,2,No,No,72,160,Youngest Child,Dog
3.35,Female,3.75,24,30,8,Public,1,10,No,Yes,2,No,Yes,67,136,Youngest Child,Cat
3.1,Male,4,32,0,10,Public,1,12,No,Yes,5,No,Yes,72,160,Youngest Child,Dog
3.98,Male,4.21,32,22,10,Public,2,14,Yes,Yes,0,No,No,71,172,Youngest Child,Both
3.2,Female,4.23,25,9,16,Public,1,16,No,Yes,6,Yes,Yes,66,135,Oldest Child,Neither
3,Female,4,27,3,16,Public,2,16,No,Yes,10,Yes,No,67,140,Youngest Child,Dog
3.5,Female,4,29,0,0,Public,1,20,No,Yes,5,Yes,No,68,130,Youngest Child,Neither
3.5,Female,4.3,28,6,20,Public,1,20,Yes,No,5,Yes,No,65,120,Middle Child,Dog
3.57,Female,3.99,25,20,15,Public,2,20,No,No,10,Yes,Yes,62,120,Oldest Child,Dog
